대분류	중분류	Advertiser	Brand	광고목적	Device	Media	Category	Product	Period	date	Imp	click	cost	conversion	Creative	layout	background	object	button	Shape	benefit	keytopic	keyword	trigger	adcopy
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-30	2250865	1367	511963			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-31	2226448	1498	520375			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-01	1914875	1442	505278			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-02	1815430	1753	487410			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-03	2042123	1679	506658			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-04	2313542	1498	493361			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-05	2960084	1502	526140			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-06	2176948	1357	468278			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-08	1662177	870	313996			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-09	1213223	1031	322123			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-10	1464940	1021	330161			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-11	1668569	1062	349531			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-12	1608265	1015	344524			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-13	1838727	1050	348855			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-14	1731607	1016	343398			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-15	1490624	845	293291			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-16	995065	985	301490			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-17	1169130	997	303700			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-18	1509703	1032	324969			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-19	1732827	1143	369791			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-20	1502104	1049	339433			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-21	1504271	992	331605			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-22	1218184	957	310106			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-23	989527	1086	314090			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-24	1165550	1111	320585			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-25	1587086	1031	331099			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-26	1534257	972	330714			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-27	1290755	1043	327045			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-28	1310238	978	325540			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-29	1395244	981	310429			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-30	838604	962	299369			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-01	1346459	1181	306681			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-02	1666658	1280	314320			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-03	1493034	1135	319510			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-04	1295905	1177	315540			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-05	1439527	1155	317385			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-06	1642256	1150	313036			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-07	1386241	1052	313696			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-08	1438810	1085	314784			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-09	1516382	1108	316361			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-10	2051277	952	315766			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-11	1534873	875	312634			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-12	1184306	642	217515			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-13	915014	623	211336			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-14	783710	723	209793			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-15	936663	762	212440			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-16	1196283	646	205669			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-17	1191843	642	204533			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-18	1158029	586	201708			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-19	983595	577	198811			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-20	1014747	575	193459			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-21	681611	635	193929			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-22	999040	735	196291			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-23	1140301	640	206378			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-24	988484	592	200396			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-25	901791	623	202875			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-26	997330	629	204366			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-27	888918	621	194660			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-28	755043	742	192841			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-29	787703	653	197125			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-30	1028376	599	203775			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-31	1094593	589	202381			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-01	692996	437	168864			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-02	1208644	631	170093			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-03	1033524	656	165797			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-04	888654	724	166320			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-05	754677	763	169525			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-06	967750	628	142463			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-07	608385	494	129269			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-08	961160	704	196586			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-09	826897	627	172502			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-10	606944	472	137419			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-11	615808	652	196987			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-12	833788	714	197459			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-13	937747	585	175176			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-14	504572	326	94952			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-15	500171	395	129173			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-16	714895	605	202627			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-17	622159	496	175158			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-18	518541	443	162853			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-19	672430	542	193778			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-20	584110	419	143766			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-21	435758	284	92882			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-22	593843	361	130918			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-23	233592	200	71777			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-24	175085	167	67475			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-25	282619	327	118330			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-26	469054	506	188455			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-27	450164	348	135845			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-28	593159	404	242180			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-29	1755045	1023	550010			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-11-30						좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-12-01	378376	366	169484			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-12-02	506104	367	156835			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-12-03	394277	399	162750			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-12-04	401122	429	177719			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-12-05	381212	428	174285			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-12-06	435361	475	173854			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-12-07	493933	518	171455			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-12-08	462280	558	162274			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-12-09	269865	625	158341			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-12-10	358995	680	164210			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-12-11	471506	709	177215			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-12-12	454419	616	175601			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-12-13	494888	624	164675			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-12-14	519136	615	163133			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-12-15	397625	664	160259			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-12-16	382495	745	153623			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
